Year,urban_growth_r,Pak_GDP,Pak_Indust_annual_growth,CPI,GNI_per_cap,energy_consump,Elec_gener,ener_instensity,E_P_Renewables,CO2_per_ener
1985,4.09,7.59,8.09,1.33,2.78,218.16,28.83,0.99,45.18,0.21
1986,4.37,5.5,7.55,0.83,-3.07,231.24,32.35,0.98,38.5,0.21
1987,4.37,6.45,7.53,1.11,3.02,259.39,36.35,1.04,45.05,0.2
1988,4.33,7.63,9.98,2.09,4.26,275.56,40.67,1.04,42.2,0.21
1989,4.19,4.96,3.96,1.85,1.8,292.24,42.81,1.05,40.75,0.21
1990,4.12,4.46,5.72,2.14,1.18,305.5,45.99,1.05,37.15,0.22
1991,4.04,5.06,3.75,2.79,1.99,323.7,50.22,1.04,36.41,0.21
1992,3.44,7.71,7.22,2.25,4.68,340.03,53.58,1.04,37.23,0.21
1993,3.37,1.76,4.44,2.36,-1.31,376.31,57.01,1.11,38.47,0.21
1994,3.71,3.74,4.55,2.92,0.72,389.38,57.92,1.09,37.16,0.22
1995,3.75,4.96,2.54,2.92,2.18,410.68,63.75,1.09,35.68,0.2
1996,3.85,4.85,3.73,2.45,1.72,437.43,67.57,1.12,36.7,0.21
1997,3.74,1.01,-0.07,2.69,-2.27,422.88,62.48,1.05,29.52,0.22
1998,3.62,2.55,6.93,1.47,-0.75,453.85,66.4,1.08,36.31,0.21
1999,3.46,3.66,4.07,0.98,1.89,473.72,65.3,1.08,32.93,0.21
2000,3.68,4.26,1.53,1.03,2.05,483.75,66.49,1.05,25.85,0.21
2001,3.69,3.65,10.67,0.74,0.72,495.15,72.11,1.04,26.27,0.21
2002,3.11,2.59,4.27,0.78,-0.14,514.11,75.77,1.02,29.5,0.22
2003,2.79,5.4,7.41,0.69,3.9,559.93,82.08,1.03,34.28,0.21
2004,2.83,7.83,16.34,1.76,5.52,623.06,85.96,1.05,31.26,0.21
2005,2.75,7.28,15.73,2.14,4.18,646.48,94.56,1.01,33.69,0.21
2006,2.69,6.05,10.44,1.87,3.59,681.33,99.53,0.99,33.17,0.21
2007,2.73,4.44,8.06,1.8,2.05,724.41,96.15,1.01,31.16,0.21
2008,2.77,2.12,6.14,4.79,-0.47,728,93.01,0.97,31.24,0.21
2009,2.81,3.47,-3.94,3.22,0.23,737.61,96.11,0.95,30.28,0.21
2010,2.84,1.5,1.73,3.06,0.16,740.76,94.54,0.92,34.72,0.21
2011,2.69,2.68,2.61,2.82,0.99,740.26,94.83,0.88,31.3,0.21
2012,2.38,3.03,2.01,2.29,1.32,687.84,98.1,0.78,31.71,0.23
2013,2.11,4.37,5.37,1.82,2.09,751.74,104.88,0.82,32.19,0.2
2014,1.99,4.12,5.76,1.7,2.47,775.94,107.91,0.81,32.83,0.2
2015,1.87,4.22,4.12,0.6,2.48,815.86,112.79,0.81,33.65,0.2
2016,1.78,6.57,4.03,0.89,3.1,542.2,122.9,0.51,29.17,0.36
2017,1.9,4.43,4.87,0.97,3.66,941,130.36,0.84,25.04,0.23
2018,2.15,6.15,7.08,1.2,3.6,971.03,129.02,0.83,25.68,0.21
2019,2.26,2.5,4.52,2.5,-1.17,982.52,133.29,0.84,29.33,0.21
2020,2.43,-1.27,-7.8,2.3,-2.96,977.22,143.09,0.81,27.42,0.21
